pokemonid,name,Pokedex,sprite,type1id,type2id,speciesid,height,weight,abilities1id,abilities2id,abilities3id,evYield,catchRate,baseFriendship,baseExp,growthRate,eggGroups1id,eggGroups2id,gender,eggCycles,hpBase,hpMin,hpMax,attackBase,attackMin,attackMax,defenseBase,defenseMin,defenseMax,specialAttackBase,specialAttackMin,specialAttackMax,specialDefenseBase,specialDefenseMin,specialDefenseMax,speedBase,speedMin,speedMax,spriteImage
11,Aggron,306,https://drive.google.com/file/d/1mtcOmqOXghywZyzWNTjrn8IM8m9ispd-/view?usp=drivesdk,17,16,7,2.1 m (6′11″),360.0 kg (793.7 lbs),369,290,136,3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,12,,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,
12,Mega Aggron,306,https://drive.google.com/file/d/1EhZzgV20ygAzB4m7XLBsrdoQ3sLGflNC/view?usp=drivesdk,17,,7,2.2 m (7′03″),395.0 kg (870.8 lbs),93,,,3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),284,Slow,12,,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,140,256,416,230,418,614,60,112,240,80,148,284,50,94,218,
13,Aipom,190,https://drive.google.com/file/d/13KDElsi17Y6JFjfMomVQbL3cUI11Dusz/view?usp=drivesdk,13,,8,0.8 m (2′07″),11.5 kg (25.4 lbs),295,242,330,1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,
14,Alakazam,65,https://drive.google.com/file/d/1ekY0UDJw5e7tMZQrD5nuUWPNJOj4jbVL/view?usp=drivesdk,15,,2,1.5 m (4′11″),48.0 kg (105.8 lbs),385,160,193,3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),225,Medium Slow,10,,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,
15,Mega Alakazam,65,https://drive.google.com/file/d/1H2GPQ-c3JiCVErV5p0QHvF4Q-3ELugRs/view?usp=drivesdk,15,,2,1.2 m (3′11″),48.0 kg (105.8 lbs),409,,,3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),270,Medium Slow,10,,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,65,121,251,175,319,493,105,193,339,150,274,438,
16,Alcremie,869,https://drive.google.com/file/d/1Lhf2DXU0kLrAqWbVRvJIZYMjZPdyoVup/view?usp=drivesdk,5,,9,0.3 m (1′00″),0.5 kg (1.1 lbs),379,17,,2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),173,Medium Fast,2,6,"0% male, 100% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,75,139,273,110,202,350,121,222,375,64,119,249,
17,Alomomola,594,https://drive.google.com/file/d/1J5T3qhmqYZju8exa5Wc_g16U1bNpVhFN/view?usp=drivesdk,18,,10,1.2 m (3′11″),31.6 kg (69.7 lbs),131,145,285,2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Fast,14,15,"50% male, 50% female","40 (10,024–10,280 steps)",165,440,534,75,139,273,80,148,284,40,76,196,45,85,207,65,121,251,
18,Altaria,334,https://drive.google.com/file/d/1l91gICdXd-cIAF_bhwu7K8mUzjkeroOe/view?usp=drivesdk,3,8,11,1.1 m (3′07″),20.6 kg (45.4 lbs),220,42,,2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Erratic,5,8,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,90,166,306,70,130,262,105,193,339,80,148,284,
19,Mega Altaria,334,https://drive.google.com/file/d/1s3KBHQsrm37vPPtaO68NSNgNjfveAhqw/view?usp=drivesdk,3,5,11,1.5 m (4′11″),20.6 kg (45.4 lbs),244,,,2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),207,Erratic,5,8,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,110,202,350,110,202,350,105,193,339,80,148,284,
20,Amaura,698,https://drive.google.com/file/d/1UTQTkvb079gBkltw15gONoLFptBc7vnH/view?usp=drivesdk,16,12,12,1.3 m (4′03″),25.2 kg (55.6 lbs),283,340,,1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,12,,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",77,264,358,59,110,238,50,94,218,67,125,256,63,117,247,46,87,210,
21,Ambipom,424,https://drive.google.com/file/d/1RmvLseKfVkrvsgL4E_L26-o_o3wjHPks/view?usp=drivesdk,13,,8,1.2 m (3′11″),20.3 kg (44.8 lbs),390,242,330,2 Speed,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),169,Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,66,123,254,60,112,240,66,123,254,115,211,361,
22,Amoonguss,591,https://drive.google.com/file/d/1eirJhCVAH5f1l7KbkL4nd-NpkuQOWXih/view?usp=drivesdk,10,14,13,0.6 m (2′00″),10.5 kg (23.1 lbs),86,285,,2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),162,Medium Fast,9,,"50% male, 50% female","20 (4,884–5,140 steps)",114,338,432,85,157,295,70,130,262,85,157,295,80,148,284,30,58,174,
23,Ampharos,181,https://drive.google.com/file/d/1AKmbHi_McSxfe01mVQktxcs7KqAB3eLA/view?usp=drivesdk,4,,14,1.4 m (4′07″),61.5 kg (135.6 lbs),355,247,,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,7,12,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,75,139,273,85,157,295,115,211,361,90,166,306,55,103,229,
24,Mega Ampharos,181,https://drive.google.com/file/d/151r8kqfddPVjSZvhFIJQqmZqkEQ6SBm4/view?usp=drivesdk,4,3,14,1.4 m (4′07″),61.5 kg (135.6 lbs),209,,,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),275,Medium Slow,7,12,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,95,175,317,105,193,339,165,301,471,110,202,350,45,85,207,
25,Annihilape,979,https://drive.google.com/file/d/1SwIvkvGHLlicWXU6UtJgoPws71LfV8cz/view?usp=drivesdk,6,9,15,1.2 m (3′11″),56.0 kg (123.5 lbs),424,160,71,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),268,Medium Fast,7,,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,115,211,361,80,148,284,50,94,218,90,166,306,90,166,306,
26,Anorith,347,https://drive.google.com/file/d/1hgGKmIhg99bA4JsTE1sJSDg9vlHv-Z_1/view?usp=drivesdk,16,1,16,0.7 m (2′04″),12.5 kg (27.6 lbs),23,382,,1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Erratic,16,,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",45,200,294,95,175,317,50,94,218,40,76,196,50,94,218,75,139,273,
27,Appletun,842,https://drive.google.com/file/d/1Ckz4SJXzMoTbAuEIRGxIpMR8Fm-T6eBw/view?usp=drivesdk,10,3,17,0.4 m (1′04″),13.0 kg (28.7 lbs),286,114,400,2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,5,9,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,85,157,295,80,148,284,100,184,328,80,148,284,30,58,174,
28,Applin,840,https://drive.google.com/file/d/16ty-cquKgVY4wAcYrjfo7zQza6faW3gv/view?usp=drivesdk,10,3,18,0.2 m (0′08″),0.5 kg (1.1 lbs),286,114,34,1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Erratic,5,9,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,40,76,196,80,148,284,40,76,196,40,76,196,20,40,152,
29,Araquanid,752,https://drive.google.com/file/d/1nPxIf7gasykbe5QHrzOu_pAR-sSkjb6Q/view?usp=drivesdk,18,1,19,1.8 m (5′11″),82.0 kg (180.8 lbs),431,430,,2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),159,Medium Fast,3,14,"50% male, 50% female","15 (3,599–3,855 steps)",68,246,340,70,130,262,92,170,311,50,94,218,132,242,399,42,80,201,
30,Arbok,24,https://drive.google.com/file/d/176B8gjPwjFziXHu7AIEaMNp6u7IuM_vT/view?usp=drivesdk,14,,20,3.5 m (11′06″),65.0 kg (143.3 lbs),164,319,420,2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,5,7,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,
31,Arboliva,930,https://drive.google.com/file/d/168AM7WXdq27OaI_XsdzUrfOQiWYHvRrN/view?usp=drivesdk,10,13,21,1.4 m (4′07″),48.2 kg (106.3 lbs),311,130,,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,9,,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,69,128,260,90,166,306,125,229,383,109,200,348,39,74,194,
32,Arcanine,59,https://drive.google.com/file/d/14N1lPg8K8xjjhzsmsFkJPagXooj2AaEr/view?usp=drivesdk,7,,22,1.9 m (6′03″),155.0 kg (341.7 lbs),164,98,171,2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,7,,"75% male, 25% female","20 (4,884–5,140 steps)",90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,
33,Hisuian Arcanine,59,https://drive.google.com/file/d/1N_lySFt5MfV-DnCIwY9B4rc1ZkV0ZHvq/view?usp=drivesdk,7,16,22,2.0 m (6′07″),168.0 kg (370.4 lbs),164,98,291,2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,7,,"75% male, 25% female","20 (4,884–5,140 steps)",95,300,394,115,211,361,80,148,284,95,175,317,80,148,284,90,166,306,
34,Arceus,493,https://drive.google.com/file/d/155CtICCbjIAh2AMArGYnErbr39VC3iQU/view?usp=drivesdk,13,,23,3.2 m (10′06″),320.0 kg (705.5 lbs),217,,,3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),360,Slow,13,,Genderless,"120 (30,584–30,840 steps)",120,350,444,120,220,372,120,220,372,120,220,372,120,220,372,120,220,372,
35,Archaludon,1018,https://drive.google.com/file/d/1CjJbem9vuupClPkaL1H-_KLWKcQQZ00B/view?usp=drivesdk,17,3,24,2.0 m (6′07″),60.0 kg (132.3 lbs),353,369,352,3 Defense,"10 (1.3% with PokéBall, full HP)",,,Medium Fast,5,11,"50% male, 50% female",,90,290,384,105,193,339,130,238,394,125,229,383,65,121,251,85,157,295,
36,Archen,566,https://drive.google.com/file/d/1j8OI7KtfHDPyg63V8PW-TusWIpDS2T5G/view?usp=drivesdk,16,8,25,0.5 m (1′08″),9.5 kg (20.9 lbs),69,,,1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,8,16,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",55,220,314,112,206,355,45,85,207,74,137,271,45,85,207,70,130,262,
37,Archeops,567,https://drive.google.com/file/d/1dDCvXfELIYSF9esg8IfM3k8Y0G1tTj-j/view?usp=drivesdk,16,8,25,1.4 m (4′07″),32.0 kg (70.5 lbs),69,,,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Medium Fast,8,16,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,140,256,416,65,121,251,112,206,355,65,121,251,110,202,350,
38,Arctibax,997,https://drive.google.com/file/d/1LxH6IYfi-SS-kC3v0DGGKjpcVKafukrP/view?usp=drivesdk,3,12,26,0.8 m (2′07″),30.0 kg (66.1 lbs),398,149,,2 Attack,"25 (3.3% with PokéBall, full HP)",50 (normal),148,Slow,5,11,"50% male, 50% female","40 (10,024–10,280 steps)",90,290,384,95,175,317,66,123,254,45,85,207,65,121,251,62,116,245,
39,Arctovish,883,https://drive.google.com/file/d/1nWpEHB2U6LohmLTWGZ72fFb5Tn0t6aCn/view?usp=drivesdk,18,12,6,2.0 m (6′07″),175.0 kg (385.8 lbs),429,148,334,2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,13,,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,80,148,284,90,166,306,55,103,229,
40,Arctozolt,881,https://drive.google.com/file/d/1zZOl2jBrEKO3l7iIAoCalXUuModv4LOx/view?usp=drivesdk,4,12,6,2.3 m (7′07″),150.0 kg (330.7 lbs),426,355,334,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,13,,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,90,166,306,80,148,284,55,103,229,
41,Ariados,168,https://drive.google.com/file/d/1k5B_hlka5fWKSgbOle37GyYSvpw6fuEt/view?usp=drivesdk,1,14,27,1.1 m (3′07″),33.5 kg (73.9 lbs),377,162,336,2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),140,Fast,3,,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,90,166,306,70,130,262,60,112,240,70,130,262,40,76,196,
42,Armaldo,348,https://drive.google.com/file/d/1A83wuhZtaJm1ssQbS6SA6dcNw0_3VVoq/view?usp=drivesdk,16,1,28,1.5 m (4′11″),68.2 kg (150.4 lbs),23,382,,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,16,,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,125,229,383,100,184,328,70,130,262,80,148,284,45,85,207,
43,Armarouge,936,https://drive.google.com/file/d/1o25RC3N_ubz59AOMUNH40qGHmlLgfODH/view?usp=drivesdk,7,15,29,1.5 m (4′11″),85.0 kg (187.4 lbs),98,436,,2 Sp. Atk,"25 (3.3% with PokéBall, full HP)",20 (lower than normal),263,Slow,10,,"50% male, 50% female","35 (8,739–8,995 steps)",85,280,374,60,112,240,100,184,328,125,229,383,80,148,284,75,139,273,
44,Aromatisse,683,https://drive.google.com/file/d/1uTeVH3ZfWS6WZHsLlYB2s7OZKOUGbKNE/view?usp=drivesdk,5,,30,0.8 m (2′07″),15.5 kg (34.2 lbs),131,17,,2 HP,"140 (18.3% with PokéBall, full HP)",50 (normal),162,Medium Fast,6,,"50% male, 50% female","20 (4,884–5,140 steps)",101,312,406,72,134,267,72,134,267,99,182,326,89,164,304,29,56,172,
45,Aron,304,https://drive.google.com/file/d/13GtSiIet6oYaYzp5Nf2UFP-8ylbfGBQJ/view?usp=drivesdk,17,16,7,0.4 m (1′04″),60.0 kg (132.3 lbs),369,290,136,1 Defense,"180 (23.5% with PokéBall, full HP)",35 (lower than normal),66,Slow,12,,"50% male, 50% female","35 (8,739–8,995 steps)",50,210,304,70,130,262,100,184,328,40,76,196,40,76,196,30,58,174,
46,Arrokuda,846,https://drive.google.com/file/d/1v1kp69S2ITju9htyxWIzT_izml36UTyw/view?usp=drivesdk,18,,31,0.5 m (1′08″),1.0 kg (2.2 lbs),381,263,,1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Slow,15,,"50% male, 50% female","20 (4,884–5,140 steps)",41,192,286,63,117,247,40,76,196,40,76,196,30,58,174,66,123,254,
47,Articuno,144,https://drive.google.com/file/d/1uigRbFstrpSMI3zRJ_gqTjCrfjPovCwZ/view?usp=drivesdk,12,8,32,1.7 m (5′07″),55.4 kg (122.1 lbs),259,338,,3 Sp. Def,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,13,,Genderless,"80 (20,304–20,560 steps)",90,290,384,85,157,295,100,184,328,95,175,317,125,229,383,85,157,295,
48,Galarian Articuno,144,https://drive.google.com/file/d/1cAPifqlkyhIx2_X-H3-DYmBFrPoBh90v/view?usp=drivesdk,15,8,33,1.7 m (5′07″),50.9 kg (112.2 lbs),46,,,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,13,,Genderless,"120 (30,584–30,840 steps)",90,290,384,85,157,295,85,157,295,125,229,383,100,184,328,95,175,317,
49,Audino,531,https://drive.google.com/file/d/1Jy57fB29dXzM63daqmDfiCk3SKwXcOFp/view?usp=drivesdk,13,,34,1.1 m (3′07″),31.0 kg (68.3 lbs),131,284,175,2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),390,Fast,6,,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,86,159,298,60,112,240,86,159,298,50,94,218,
50,Mega Audino,531,https://drive.google.com/file/d/19u_eYEii0QuTUNK9l0mYVwSaQCQiZr_4/view?usp=drivesdk,13,5,34,1.5 m (4′11″),32.0 kg (70.5 lbs),131,,,2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),425,Fast,6,,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,126,231,386,80,148,284,126,231,386,50,94,218,
51,Aurorus,699,https://drive.google.com/file/d/1aGMAvStky8WwDvKF7yNjJoNqWIOL-73Q/view?usp=drivesdk,16,12,12,2.7 m (8′10″),225.0 kg (496.0 lbs),283,340,,2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),104,Medium Fast,12,,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",123,356,450,77,143,278,72,134,267,99,182,326,92,170,311,58,108,236,
52,Avalugg,713,https://drive.google.com/file/d/12wdgortalQfp3OTHq-l1gc6d8IDbSWGS/view?usp=drivesdk,12,,35,2.0 m (6′07″),505.0 kg (1113.3 lbs),235,148,370,2 Defense,"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,11,12,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,117,215,366,184,335,513,44,83,205,46,87,210,28,54,170,
53,Hisuian Avalugg,713,https://drive.google.com/file/d/1d5Js4na9QXtgkyxAc6g6hIQNQT1PfN9f/view?usp=drivesdk,12,16,35,1.4 m (4′07″),262.4 kg (578.5 lbs),368,148,370,2 Defense,"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,11,12,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,127,233,388,184,335,513,34,65,183,36,69,188,38,72,192,
54,Axew,610,https://drive.google.com/file/d/1X-cApGYCCPP74yq1ix26sdegkdWQxTkg/view?usp=drivesdk,3,,36,0.6 m (2′00″),18.0 kg (39.7 lbs),287,209,420,1 Attack,"75 (9.8% with PokéBall, full HP)",35 (lower than normal),64,Slow,5,12,"50% male, 50% female","40 (10,024–10,280 steps)",46,202,296,87,161,300,60,112,240,30,58,174,40,76,196,57,107,234,
55,Azelf,482,https://drive.google.com/file/d/13Yrk3EXrHcbQw1tDAGkZFHlZCUNy5MAg/view?usp=drivesdk,15,,37,0.3 m (1′00″),0.3 kg (0.7 lbs),178,,,"2 Attack, 1 Sp. Atk","3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,13,,Genderless,"80 (20,304–20,560 steps)",75,260,354,125,229,383,70,130,262,125,229,383,70,130,262,115,211,361,
56,Azumarill,184,https://drive.google.com/file/d/1yXO-zv9qconaHCa6DD0LxdzOHgMdqeHj/view?usp=drivesdk,18,5,38,0.8 m (2′07″),28.5 kg (62.8 lbs),399,140,306,3 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),210,Fast,6,14,"50% male, 50% female","10 (2,314–2,570 steps)",100,310,404,50,94,218,80,148,284,60,112,240,80,148,284,50,94,218,
57,Azurill,298,https://drive.google.com/file/d/1uXAaKy98HzIqMb1hzvqEyX8_XKbntUks/view?usp=drivesdk,13,5,39,0.2 m (0′08″),2.0 kg (4.4 lbs),399,140,306,1 HP,"150 (19.6% with PokéBall, full HP)",50 (normal),38,Fast,13,,"25% male, 75% female","10 (2,314–2,570 steps)",50,210,304,20,40,152,40,76,196,20,40,152,40,76,196,20,40,152,
58,Bagon,371,https://drive.google.com/file/d/132AxjbnLZs25oWRQCktXReHh11Ed6slf/view?usp=drivesdk,3,,40,0.6 m (2′00″),42.1 kg (92.8 lbs),290,322,,1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,5,,"50% male, 50% female","40 (10,024–10,280 steps)",45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,
59,Baltoy,343,https://drive.google.com/file/d/1tVJMIB_AmboWLI6Evj3W47azOgl0ZOVj/view?usp=drivesdk,11,15,41,0.5 m (1′08″),21.5 kg (47.4 lbs),178,,,1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,11,,Genderless,"20 (4,884–5,140 steps)",40,190,284,40,76,196,55,103,229,40,76,196,70,130,262,55,103,229,
60,Banette,354,https://drive.google.com/file/d/1c8BRendMHQVKQD0PJiPcAosYSHnOFxFb/view?usp=drivesdk,9,,42,1.1 m (3′07″),12.5 kg (27.6 lbs),162,108,60,2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),159,Fast,2,,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,
61,Mega Banette,354,https://drive.google.com/file/d/1Q-kuPOHjxma0EFMAl3ckgGUhA5ZxDyw6/view?usp=drivesdk,9,,42,1.2 m (3′11″),13.0 kg (28.7 lbs),257,,,2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),194,Fast,2,,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,165,301,471,75,139,273,93,171,313,83,153,291,75,139,273,
62,Barbaracle,689,https://drive.google.com/file/d/1hA572bEXzJhpjhl1RGEzT6ghePOfGe-h/view?usp=drivesdk,16,18,43,1.3 m (4′03″),96.0 kg (211.6 lbs),335,405,241,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Medium Fast,16,,"50% male, 50% female","20 (4,884–5,140 steps)",72,254,348,105,193,339,115,211,361,54,101,227,86,159,298,68,126,258,
63,Barboach,339,https://drive.google.com/file/d/1uVDJs2xcSHBFM2XGuDCTHOuE_TpuciYI/view?usp=drivesdk,18,11,44,0.4 m (1′04″),1.9 kg (4.2 lbs),227,12,146,1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),58,Medium Fast,15,,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,48,90,214,43,81,203,46,87,210,41,78,199,60,112,240,
64,Barraskewda,847,https://drive.google.com/file/d/1JcRCjJK3GwMXaSLoMRiFgYlMzaWCtEow/view?usp=drivesdk,18,,45,1.3 m (4′03″),30.0 kg (66.1 lbs),381,263,,2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Slow,15,,"50% male, 50% female","20 (4,884–5,140 steps)",61,232,326,123,225,379,60,112,240,60,112,240,50,94,218,136,249,408,
